usecase_id,usecase_name,process_id,process_name,function_id,function_name,function_actor,policy_group_id,policy_group_name,policy_item_id,policy_item_name
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-SCOPE-001,상품상세/담기 범위·경계 정책,PI-PDD-SCOPE-001-01,범위 경계
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-SCOPE-001,상품상세/담기 범위·경계 정책,PI-PDD-SCOPE-001-02,담기 정의
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-SCOPE-001,상품상세/담기 범위·경계 정책,PI-PDD-SCOPE-001-03,인접 정책서 경계
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-SUMMARY-001,상품 요약·미디어·스펙 표시 정책,PI-PDD-SUMMARY-001-01,핵심 요약
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-SUMMARY-001,상품 요약·미디어·스펙 표시 정책,PI-PDD-SUMMARY-001-02,미디어 뷰어
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-SUMMARY-001,상품 요약·미디어·스펙 표시 정책,PI-PDD-SUMMARY-001-03,스펙 요약
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-SUMMARY-001,상품 요약·미디어·스펙 표시 정책,PI-PDD-SUMMARY-001-04,상품 리뷰·평점·Q&A
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-SUMMARY-001,상품 요약·미디어·스펙 표시 정책,PI-PDD-SUMMARY-001-05,브랜드·판매주체·이행방식
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-TPL-001,상품 상세 표준 템플릿 정책,PI-PDD-TPL-001-01,표준 섹션
US-PDD-CUS-001,상품 가치 탐색과 이해,PR-PDD-DTL-001,상품 상세 핵심 요약 탐색,FN-PDD-DTL-001,상품 요약·핵심 속성 표시,ACT-PDD-001,PG-PDD-TPL-001,상품 상세 표준 템플릿 정책,PI-PDD-TPL-001-02,상품군 특화
